# {"t_start": 1600396399.741331, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3936.446043
-50.0,50,3939.763509
-50.0,50,3947.620017
-50.0,50,3950.914317
-50.0,50,3954.166789
-13.0,50,3957.570936
-43.0,50,3965.846703
-50.0,50,3973.711579
-50.0,50,3977.146483
-50.0,50,3980.514911
-50.0,50,3983.888799
-50.0,50,3991.893103
-12.0,50,3995.23643
-34.0,50,4003.006331
-50.0,50,4011.139455
-42.0,50,4014.47109
-20.0,50,4022.189959
-35.0,50,4030.073484
-50.0,50,4037.834516
-20.0,50,4041.057971
-14.0,50,4048.949647
-50.0,50,4056.692252
-24.0,50,4060.007404
-50.0,50,4068.644204
-7.0,50,4076.384
-7.0,50,4076.536041
-8.0,50,4076.697029
-8.0,50,4076.851527
-7.0,50,4077.046877
-50.0,50,4077.198131
0.0,50,4077.330549
-12.0,50,4077.478073
-4.0,50,4077.642705
-50.0,50,4077.766898
-26.0,50,4077.895943
-28.0,50,4085.64915
-16.0,50,4093.511308
-50.0,50,4101.355915
-50.0,50,4104.748913
-50.0,50,4112.755949
-50.0,50,4116.022177
-50.0,50,4119.351441
-50.0,50,4122.615119
-50.0,50,4125.900686
-22.0,50,4129.243418
-50.0,50,4137.154112
-50.0,50,4140.484554
-13.0,50,4143.866129
-46.0,50,4151.991084
-23.0,50,4160.202178
-30.0,50,4167.878638
-50.0,50,4175.704292
0.0,50,4179.576796
-50.0,50,4182.802654
-36.0,50,4186.06723
-50.0,50,4193.90162
-50.0,50,4197.249611
-44.0,50,4200.855041
-30.0,50,4209.243634
-50.0,50,4217.114175
-50.0,50,4224.994966
-29.0,50,4233.413963
-12.0,50,4241.358057
-50.0,50,4249.374933
-50.0,50,4253.075351
-50.0,50,4256.357753
-50.0,50,4264.220378
-50.0,50,4267.528888
-50.0,50,4275.348736
-38.0,50,4283.704823
-15.0,50,4291.711235
-50.0,50,4299.642001
-20.0,50,4302.940135
-50.0,50,4311.59837
-11.0,50,4314.894748
-15.0,50,4322.628806
-11.0,50,4330.471335
-50.0,50,4338.132933
-50.0,50,4346.121477
-50.0,50,4349.398257
-50.0,50,4352.625048
0.0,50,4355.906506
-50.0,50,4359.161577
-18.0,50,4362.499078
-23.0,50,4370.411131
-14.0,50,4378.224604
-50.0,50,4386.042659
-50.0,50,4389.283519
-27.0,50,4392.53106
-50.0,50,4400.507383
-24.0,50,4403.873656
-50.0,50,4411.855708
-50.0,50,4415.269062
-43.0,50,4418.726075
-50.0,50,4426.517521
-28.0,50,4429.817544
-18.0,50,4437.696853
-50.0,50,4445.469335
-23.0,50,4448.76166
-50.0,50,4456.793022
-18.0,50,4460.164883
-50.0,50,4468.151271
-50.0,50,4476.09394
-19.0,50,4479.598378
-50.0,50,4487.70749
-50.0,50,4495.540236
-50.0,50,4503.931516
-43.0,50,4511.873946
-34.0,50,4519.793989
-49.0,50,4527.613436
-33.0,50,4535.59509
-23.0,50,4543.469797
-50.0,50,4551.512726
-36.0,50,4559.450418
-40.0,50,4567.886951
-50.0,50,4575.938025
-50.0,50,4579.548634
-50.0,50,4583.080456
-50.0,50,4586.422153
-20.0,50,4589.820026
-25.0,50,4597.700008
-50.0,50,4605.64884
-50.0,50,4609.013516
-9.0,50,4612.37048
-13.0,50,4620.328244
-29.0,50,4628.568707
-50.0,50,4636.684567
-50.0,50,4640.044237
-42.0,50,4648.036215
-50.0,50,4656.092684
-50.0,50,4659.449447
-24.0,50,4667.535445
-28.0,50,4675.59174
-50.0,50,4683.464228
-8.0,50,4686.788965
0.0,50,4686.929589
-12.0,50,4687.096508
-50.0,50,4687.233898
-50.0,50,4687.362422
-11.0,50,4687.517918
0.0,50,4687.649844
-7.0,50,4687.791935
-13.0,50,4687.934858
-6.0,50,4688.078039
-50.0,50,4688.203894
-50.0,50,4696.31014
-29.0,50,4699.760297
-31.0,50,4707.676937
-36.0,50,4715.760815
-50.0,50,4723.845505
-50.0,50,4727.244401
-33.0,50,4730.565377
-50.0,50,4738.576904
-50.0,50,4742.100683
-47.0,50,4750.274019
-50.0,50,4758.109053
-50.0,50,4766.063882
-50.0,50,4769.619866
-26.0,50,4773.061363
-50.0,50,4781.322144
-1.0,50,4789.387535
-43.0,50,4797.372594
-50.0,50,4805.532379
-50.0,50,4809.012585
-12.0,50,4817.256324
-50.0,50,4825.307924
-50.0,50,4828.860338
-8.0,50,4837.193715
-50.0,50,4845.544649
-8.0,50,4853.863497
-49.0,50,4861.742349
-27.0,50,4869.78741
-12.0,50,4877.947578
-23.0,50,4886.298584
-16.0,50,4894.256614
-20.0,50,4902.092501
-50.0,50,4910.100575
-50.0,50,4918.950381
-35.0,50,4926.76863
-50.0,50,4934.655346
-27.0,50,4937.994889
-10.0,50,4945.984835
0.0,50,4953.853565
-50.0,50,4957.310511
-18.0,50,4960.643804
-14.0,50,4968.527155
-50.0,50,4976.500084
-39.0,50,4979.908138
-46.0,50,4987.746935
-50.0,50,4995.618064
-50.0,50,4999.11576
-24.0,50,5002.570771
-23.0,50,5010.641454
-35.0,50,5018.666007
-50.0,50,5026.784775
-50.0,50,5030.222981
-39.0,50,5038.290282
-50.0,50,5046.298306
-25.0,50,5054.557856
-9.0,50,5062.619619
-50.0,50,5070.641546
-50.0,50,5078.607252
-50.0,50,5081.921732
-50.0,50,5085.306362
-24.0,50,5088.56804
-11.0,50,5096.585705
-46.0,50,5104.78423
-50.0,50,5112.671807
-50.0,50,5120.598651
-26.0,50,5129.292917
0.0,50,5137.33577
-50.0,50,5145.376373
0.0,50,5148.674897
-50.0,50,5151.948119
-30.0,50,5155.280159
-50.0,50,5163.215091
0.0,50,5166.678825
-15.0,50,5170.067656
-50.0,50,5177.950708
0.0,50,5181.322952
-50.0,50,5184.826933
-39.0,50,5193.063025
-11.0,50,5201.282496
-30.0,50,5209.151245
-50.0,50,5217.075233
-17.0,50,5224.955466
-50.0,50,5233.239454
-50.0,50,5236.66071
0.0,50,5240.030878
-36.0,50,5243.507092
-13.0,50,5251.50358
-47.0,50,5259.736015
-50.0,50,5267.968936
-37.0,50,5271.42648
-14.0,50,5279.444187
-16.0,50,5287.470279
-8.0,50,5295.630382
-47.0,50,5303.653897
