epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
183,0.8232255,0.1857595,0.20072609,0.24899858,1840.0,-1.0310786,0.9,18400.0,0.42
184,0.82330114,0.18570387,0.20073834,0.2489959,1850.0,-1.3862585,1.0,18500.0,0.37
185,0.823318,0.18568413,0.20073447,0.24901961,1860.0,-0.88820064,1.0,18600.0,0.37
186,0.8233294,0.18567918,0.20073381,0.24903613,1870.0,-0.77925795,1.0,18700.0,0.38
187,0.82334167,0.1855796,0.20073219,0.249039,1880.0,-0.8537458,1.0,18800.0,0.43
188,0.8234249,0.18536644,0.20074584,0.24901961,1890.0,-1.223645,1.0,18900.0,0.52
189,0.8234582,0.18527108,0.20074502,0.24898493,1900.0,-0.58158875,1.0,19000.0,0.43
190,0.82352155,0.1851344,0.20072632,0.2491539,1910.0,-1.3992093,1.0,19100.0,0.54
191,0.8234737,0.18569486,0.20060703,0.24991167,1920.0,-0.703392,1.0,19200.0,0.52
192,0.8229494,0.18855363,0.20046951,0.2507234,1930.0,-0.99671566,1.0,19300.0,0.42
193,0.8224375,0.19125666,0.20032875,0.2514328,1940.0,-1.4338788,1.0,19400.0,0.28
194,0.8219176,0.19394617,0.20017935,0.2521177,1950.0,-1.0766867,0.9,19500.0,0.47
195,0.8214075,0.19649754,0.2000443,0.25281003,1960.0,-1.1303209,0.9,19600.0,0.44
196,0.82091784,0.199085,0.19991177,0.25343007,1970.0,-1.1037248,0.9,19700.0,0.22
197,0.82043415,0.20148617,0.19977513,0.25408784,1980.0,-0.6142523,1.0,19800.0,0.45
198,0.8199205,0.20357661,0.19963339,0.25463557,1990.0,-1.7463722,0.8,19900.0,0.41
199,0.81945604,0.20562315,0.19950534,0.25513315,2000.0,-1.9382216,0.8,20000.0,0.38
